户号,00点(kW),01点(kW),02点(kW),03点(kW),04点(kW),05点(kW),06点(kW),07点(kW),08点(kW),09点(kW),10点(kW),11点(kW),12点(kW),13点(kW),14点(kW),15点(kW),16点(kW),17点(kW),18点(kW),19点(kW),20点(kW),21点(kW),22点(kW),23点(kW)
"1315065022	",462,426,526,418,409.6,430.8,638.4,681.6,918.8,880.8,722.4,676,639.6,625.6,633.2,667.2,530,471.6,673.2,496,470.4,556.4,571.2,387.2
"1315065030	",210.8,242.1,241.1,246.3,252.9,236,266,205.6,17.9,22.1,18.9,26.4,14.7,18.6,21.8,10.8,15.6,18.5,7.5,7.4,9,8.9,9.3,9.3
"1315065039	",243,222.3,13.7,27.6,13.7,10.9,13.4,90.1,586,510.2,514.2,492.7,495.7,451.2,529.7,467.1,469.1,352.4,305.6,343.8,351.6,365.9,378.9,255
"1315065042	",1068.2,758.8,516.6,372.4,288.4,1138.2,1451.8,144.2,256.2,141.4,161,124.6,22.4,89.6,166.6,137.2,79.8,29.4,39.2,53.2,75.6,54.6,4536,3304
"1315067035	",2.28,2.28,2.45,2.45,2.45,2.45,2.28,2.28,2.1,2.1,2.1,2.1,2.28,2.1,2.1,2.28,2.28,2.28,2.28,2.45,2.45,2.45,2.28,2.28
"1315067087	",239.4,164.4,198,177,257.4,209.4,228.6,265.2,444,409.8,444,336.6,232.8,249.6,352.2,222.6,169.2,122.4,118.2,150.6,271.8,399.6,307.2,232.2
"1315067088	",633,316.8,476.1,481.8,454.2,443.7,318.6,374.7,625.5,1009.2,1054.8,1054.2,394.2,1041.3,840.9,762.9,538.5,549,361.8,272.1,190.8,162.6,240.3,24.9
"1315067109	",464.34,248.16,393,498.96,259.98,267.3,294.12,389.1,442.2,463.26,363.96,336.66,300,330.6,402.78,321,298.2,229.44,350.22,277.8,236.04,379.44,260.58,282.9
"1315067158	",1.5,1.65,1.65,1.65,1.65,1.5,1.5,1.5,1.35,1.35,1.35,1.35,1.5,1.35,1.35,1.5,1.5,1.5,1.5,1.5,1.5,1.65,1.5,1.5
"1315067168	",622.1,592.4,496,513,430.5,350.3,372.3,499.5,538.3,514.1,564.6,490.8,455.4,447.9,347.2,112,126.5,121.6,100.5,89.3,78.5,32.8,15.2,31.7
